,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
58,Scotland,West Indies,West Indies,5 runs,Harare,"Mar 21, 2018",ODI # 4004
59,Zimbabwe,U.A.E.,U.A.E.,3 runs,Harare,"Mar 22, 2018",ODI # 4005
60,Afghanistan,Ireland,Afghanistan,5 wickets,Harare,"Mar 23, 2018",ODI # 4006
61,Afghanistan,West Indies,Afghanistan,7 wickets,Harare,"Mar 25, 2018",ODI # 4007
62,Scotland,England,Scotland,6 runs,Edinburgh,"Jun 10, 2018",ODI # 4008
63,England,Australia,England,3 wickets,The Oval,"Jun 13, 2018",ODI # 4009
64,England,Australia,England,38 runs,Cardiff,"Jun 16, 2018",ODI # 4010
65,England,Australia,England,242 runs,Nottingham,"Jun 19, 2018",ODI # 4011
66,England,Australia,England,6 wickets,Chester-le-Street,"Jun 21, 2018",ODI # 4012
67,England,Australia,England,1 wicket,Manchester,"Jun 24, 2018",ODI # 4013
68,England,India,India,8 wickets,Nottingham,"Jul 12, 2018",ODI # 4014
69,Zimbabwe,Pakistan,Pakistan,201 runs,Bulawayo,"Jul 13, 2018",ODI # 4015
70,England,India,England,86 runs,Lord's,"Jul 14, 2018",ODI # 4016
71,Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,"Jul 16, 2018",ODI # 4017
72,England,India,England,8 wickets,Leeds,"Jul 17, 2018",ODI # 4018
73,Zimbabwe,Pakistan,Pakistan,9 wickets,Bulawayo,"Jul 18, 2018",ODI # 4019
74,Zimbabwe,Pakistan,Pakistan,244 runs,Bulawayo,"Jul 20, 2018",ODI # 4020
75,Zimbabwe,Pakistan,Pakistan,131 runs,Bulawayo,"Jul 22, 2018",ODI # 4021
76,West Indies,Bangladesh,Bangladesh,48 runs,Providence,"Jul 22, 2018",ODI # 4022
77,West Indies,Bangladesh,West Indies,3 runs,Providence,"Jul 25, 2018",ODI # 4023
78,West Indies,Bangladesh,Bangladesh,18 runs,Basseterre,"Jul 28, 2018",ODI # 4024
79,Sri Lanka,South Africa,South Africa,5 wickets,Dambulla,"Jul 29, 2018",ODI # 4025
80,Netherlands,Nepal,Netherlands,55 runs,Amstelveen,"Aug 1, 2018",ODI # 4026
81,Sri Lanka,South Africa,South Africa,4 wickets,Dambulla,"Aug 1, 2018",ODI # 4027
82,Netherlands,Nepal,Nepal,1 run,Amstelveen,"Aug 3, 2018",ODI # 4028
83,Sri Lanka,South Africa,South Africa,78 runs,Pallekele,"Aug 5, 2018",ODI # 4029
84,Sri Lanka,South Africa,Sri Lanka,3 runs,Pallekele,"Aug 8, 2018",ODI # 4030
85,Sri Lanka,South Africa,Sri Lanka,178 runs,Colombo (RPS),"Aug 12, 2018",ODI # 4031
86,Ireland,Afghanistan,Afghanistan,29 runs,Belfast,"Aug 27, 2018",ODI # 4032
87,Ireland,Afghanistan,Ireland,3 wickets,Belfast,"Aug 29, 2018",ODI # 4033
88,Nepal,U.A.E.,U.A.E.,78 runs,Kuala Lumpur,"Aug 30, 2018",ODI # 4034
89,Ireland,Afghanistan,Afghanistan,8 wickets,Belfast,"Aug 31, 2018",ODI # 4035
90,Bangladesh,Sri Lanka,Bangladesh,137 runs,Dubai (DSC),"Sep 15, 2018",ODI # 4036
91,Hong Kong,Pakistan,Pakistan,8 wickets,Dubai (DSC),"Sep 16, 2018",ODI # 4037
92,Afghanistan,Sri Lanka,Afghanistan,91 runs,Abu Dhabi,"Sep 17, 2018",ODI # 4038
93,Hong Kong,India,India,26 runs,Dubai (DSC),"Sep 18, 2018",ODI # 4039
94,India,Pakistan,India,8 wickets,Dubai (DSC),"Sep 19, 2018",ODI # 4040
95,Afghanistan,Bangladesh,Afghanistan,136 runs,Abu Dhabi,"Sep 20, 2018",ODI # 4041
96,Bangladesh,India,India,7 wickets,Dubai (DSC),"Sep 21, 2018",ODI # 4042
97,Afghanistan,Pakistan,Pakistan,3 wickets,Abu Dhabi,"Sep 21, 2018",ODI # 4043
98,India,Pakistan,India,9 wickets,Dubai (DSC),"Sep 23, 2018",ODI # 4044
99,Afghanistan,Bangladesh,Bangladesh,3 runs,Abu Dhabi,"Sep 23, 2018",ODI # 4045
100,Afghanistan,India,tied,,Dubai (DSC),"Sep 25, 2018",ODI # 4046
101,Bangladesh,Pakistan,Bangladesh,37 runs,Abu Dhabi,"Sep 26, 2018",ODI # 4047
102,Bangladesh,India,India,3 wickets,Dubai (DSC),"Sep 28, 2018",ODI # 4048
103,South Africa,Zimbabwe,South Africa,5 wickets,Kimberley,"Sep 30, 2018",ODI # 4049
104,South Africa,Zimbabwe,South Africa,120 runs,Bloemfontein,"Oct 3, 2018",ODI # 4050
105,South Africa,Zimbabwe,South Africa,4 wickets,Paarl,"Oct 6, 2018",ODI # 4051
106,Sri Lanka,England,no result,,Dambulla,"Oct 10, 2018",ODI # 4052
107,Sri Lanka,England,England,31 runs,Dambulla,"Oct 13, 2018",ODI # 4053
108,Sri Lanka,England,England,7 wickets,Pallekele,"Oct 17, 2018",ODI # 4054
109,Sri Lanka,England,England,18 runs,Pallekele,"Oct 20, 2018",ODI # 4055
110,India,West Indies,India,8 wickets,Guwahati,"Oct 21, 2018",ODI # 4056
111,Bangladesh,Zimbabwe,Bangladesh,28 runs,Mirpur,"Oct 21, 2018",ODI # 4057
112,Sri Lanka,England,Sri Lanka,219 runs,Colombo (RPS),"Oct 23, 2018",ODI # 4058
113,India,West Indies,tied,,Visakhapatnam,"Oct 24, 2018",ODI # 4059
114,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,"Oct 24, 2018",ODI # 4060
115,Bangladesh,Zimbabwe,Bangladesh,7 wickets,Chattogram,"Oct 26, 2018",ODI # 4061
116,India,West Indies,West Indies,43 runs,Pune,"Oct 27, 2018",ODI # 4062
117,India,West Indies,India,224 runs,Brabourne,"Oct 29, 2018",ODI # 4063
118,India,West Indies,India,9 wickets,Thiruvananthapuram,"Nov 1, 2018",ODI # 4064
119,Australia,South Africa,South Africa,6 wickets,Perth,"Nov 4, 2018",ODI # 4065
120,New Zealand,Pakistan,New Zealand,47 runs,Abu Dhabi,"Nov 7, 2018",ODI # 4066
121,Australia,South Africa,Australia,7 runs,Adelaide,"Nov 9, 2018",ODI # 4067
122,New Zealand,Pakistan,Pakistan,6 wickets,Abu Dhabi,"Nov 9, 2018",ODI # 4068
123,Australia,South Africa,South Africa,40 runs,Hobart,"Nov 11, 2018",ODI # 4069
124,New Zealand,Pakistan,no result,,Dubai (DSC),"Nov 11, 2018",ODI # 4070
125,Bangladesh,West Indies,Bangladesh,5 wickets,Mirpur,"Dec 9, 2018",ODI # 4071
126,Bangladesh,West Indies,West Indies,4 wickets,Mirpur,"Dec 11, 2018",ODI # 4072
127,Bangladesh,West Indies,Bangladesh,8 wickets,Sylhet,"Dec 14, 2018",ODI # 4073
