,Player,Ducks,Runs,Inns,,Team,Opposition,Ground,Match Date,Scorecard
28,,,0,2,,New Zealand,v South Africa,Johannesburg,29 Jan 1954,Test # 381
29,,,0,3,,New Zealand,v South Africa,Johannesburg,29 Jan 1954,Test # 381
30,,,0,1,,New Zealand,v South Africa,Gqeberha,5 Feb 1954,Test # 382
31,RB Desai,4,0,3,,India,v England,The Oval,20 Aug 1959,Test # 478
32,,,0,1,,India,v Australia,Delhi,12 Dec 1959,Test # 482
33,,,0,3,,India,v Australia,Delhi,12 Dec 1959,Test # 482
34,,,0,2,,India,v Australia,Chennai,13 Jan 1960,Test # 486
35,WM Clark,4,0,1,,Australia,v West Indies,Port of Spain,3 Mar 1978,Test # 819
36,,,0,3,,Australia,v West Indies,Port of Spain,3 Mar 1978,Test # 819
37,,,0,1,,Australia,v West Indies,Bridgetown,17 Mar 1978,Test # 821
38,,,0,3,,Australia,v West Indies,Bridgetown,17 Mar 1978,Test # 821
39,PI Pocock,4,0,2,,England,v West Indies,Manchester,26 Jul 1984,Test # 992
40,,,0,3,,England,v West Indies,Manchester,26 Jul 1984,Test # 992
41,,,0,2,,England,v West Indies,The Oval,9 Aug 1984,Test # 993
42,,,0,4,,England,v West Indies,The Oval,9 Aug 1984,Test # 993
43,NA Foster,4,0,3,,England,v Australia,Lord's,27 Jun 1985,Test # 1018
44,,,0,2,,England,v West Indies,Bridgetown,21 Mar 1986,Test # 1042
45,,,0,3,,England,v West Indies,Bridgetown,21 Mar 1986,Test # 1042
46,,,0,1,,England,v West Indies,Port of Spain,3 Apr 1986,Test # 1044
47,RG de Alwis,4,0,3,,Sri Lanka,v India,Nagpur,27 Dec 1986,Test # 1063
48,,,0,2,,Sri Lanka,v India,Cuttack,4 Jan 1987,Test # 1064
49,,,0,3,,Sri Lanka,v India,Cuttack,4 Jan 1987,Test # 1064
50,,,0,2,,Sri Lanka,v Australia,Perth,12 Feb 1988,Test # 1092
51,ME Waugh,4,0,1,,Australia,v Sri Lanka,Colombo (RPS),28 Aug 1992,Test # 1195
52,,,0,3,,Australia,v Sri Lanka,Colombo (RPS),28 Aug 1992,Test # 1195
53,,,0,1,,Australia,v Sri Lanka,Moratuwa,8 Sep 1992,Test # 1196
54,,,0,3,,Australia,v Sri Lanka,Moratuwa,8 Sep 1992,Test # 1196
55,ML Su'a,4,0,3,,New Zealand,v Sri Lanka,Colombo (SSC),6 Dec 1992,Test # 1204
56,,,0,2,,New Zealand,v Pakistan,Hamilton,2 Jan 1993,Test # 1207
57,,,0,4,,New Zealand,v Pakistan,Hamilton,2 Jan 1993,Test # 1207
58,,,0,2,,New Zealand,v Australia,Christchurch,25 Feb 1993,Test # 1215
59,DK Morrison,4,0,2,,New Zealand,v Australia,Perth,12 Nov 1993,Test # 1235
60,,,0,2,,New Zealand,v Australia,Hobart,26 Nov 1993,Test # 1236
61,,,0,3,,New Zealand,v Australia,Hobart,26 Nov 1993,Test # 1236
62,,,0,1,,New Zealand,v Australia,Brisbane,3 Dec 1993,Test # 1238
63,M Mbangwa,4,0,3,,Zimbabwe,v New Zealand,Wellington,19 Feb 1998,Test # 1401
64,,,0,1,,Zimbabwe,v New Zealand,Auckland,26 Feb 1998,Test # 1402
65,,,0,3,,Zimbabwe,v New Zealand,Auckland,26 Feb 1998,Test # 1402
66,,,0,1,,Zimbabwe,v Pakistan,Bulawayo,14 Mar 1998,Test # 1408
67,AD Mullally,4,0,2,,England,v Australia,Brisbane,20 Nov 1998,Test # 1428
68,,,0,1,,England,v Australia,Perth,28 Nov 1998,Test # 1431
69,,,0,3,,England,v Australia,Perth,28 Nov 1998,Test # 1431
70,,,0,2,,England,v Australia,Adelaide,11 Dec 1998,Test # 1434
71,GD McGrath,4,0,2,,Australia,v England,Melbourne,26 Dec 1998,Test # 1436
72,,,0,4,,Australia,v England,Melbourne,26 Dec 1998,Test # 1436
73,,,0,1,,Australia,v England,Sydney,2 Jan 1999,Test # 1439
74,,,0,3,,Australia,v England,Sydney,2 Jan 1999,Test # 1439
75,M Dillon,4,0,2,,West Indies,v Australia,Port of Spain,5 Mar 1999,Test # 1448
76,,,0,4,,West Indies,v Australia,Port of Spain,5 Mar 1999,Test # 1448
77,,,0,1,,West Indies,v Australia,Brisbane,23 Nov 2000,Test # 1516
78,,,0,3,,West Indies,v Australia,Brisbane,23 Nov 2000,Test # 1516
79,CS Martin,4,0,1,,New Zealand,v South Africa,Johannesburg,8 Dec 2000,Test # 1522
80,,,0,2,,New Zealand,v Pakistan,Auckland,8 Mar 2001,Test # 1533
81,,,0,4,,New Zealand,v Pakistan,Auckland,8 Mar 2001,Test # 1533
82,,,0,1,,New Zealand,v Pakistan,Christchurch,15 Mar 2001,Test # 1536
83,PT Collins,4,0,2,,West Indies,v Australia,Bridgetown,26 Mar 1999,Test # 1453
84,,,0,4,,West Indies,v Australia,Bridgetown,26 Mar 1999,Test # 1453
85,,,0,2,,West Indies,v Sri Lanka,Kandy,21 Nov 2001,Test # 1570
86,,,0,4,,West Indies,v Sri Lanka,Kandy,21 Nov 2001,Test # 1570
87,D Ramnarine,4,0,1,,West Indies,v Sri Lanka,Colombo (SSC),29 Nov 2001,Test # 1572
88,,,0,3,,West Indies,v Sri Lanka,Colombo (SSC),29 Nov 2001,Test # 1572
89,,,0,2,,West Indies,v Pakistan,Sharjah,7 Feb 2002,Test # 1588
90,,,0,4,,West Indies,v Pakistan,Sharjah,7 Feb 2002,Test # 1588
91,M Dillon,4,0,4,,West Indies,v Pakistan,Sharjah,31 Jan 2002,Test # 1587
92,,,0,2,,West Indies,v Pakistan,Sharjah,7 Feb 2002,Test # 1588
93,,,0,4,,West Indies,v Pakistan,Sharjah,7 Feb 2002,Test # 1588
94,,,0,1,,West Indies,v India,Georgetown,11 Apr 2002,Test # 1598
95,A Nel,4,0,3,,South Africa,v Australia,Johannesburg,22 Feb 2002,Test # 1590
96,,,0,1,,South Africa,v Pakistan,Lahore,17 Oct 2003,Test # 1664
97,,,0,3,,South Africa,v Pakistan,Lahore,17 Oct 2003,Test # 1664
98,,,0,1,,South Africa,v West Indies,Johannesburg,12 Dec 2003,Test # 1674
99,Shabbir Ahmed,4,0,1,,Pakistan,v West Indies,Kingston,3 Jun 2005,Test # 1754
100,,,0,3,,Pakistan,v West Indies,Kingston,3 Jun 2005,Test # 1754
101,,,0,1,,Pakistan,v England,Multan,12 Nov 2005,Test # 1770
102,,,0,3,,Pakistan,v England,Multan,12 Nov 2005,Test # 1770
103,Danish Kaneria,4,0,2,,Pakistan,v South Africa,Lahore,8 Oct 2007,Test # 1844
104,,,0,1,,Pakistan,v India,Delhi,22 Nov 2007,Test # 1849
105,,,0,3,,Pakistan,v India,Delhi,22 Nov 2007,Test # 1849
106,,,0,2,,Pakistan,v India,Kolkata,30 Nov 2007,Test # 1850
107,Rubel Hossain,4,0,3,,Bangladesh,v India,Mirpur,24 Jan 2010,Test # 1950
108,,,0,2,,Bangladesh,v New Zealand,Hamilton,15 Feb 2010,Test # 1953
109,,,0,4,,Bangladesh,v New Zealand,Hamilton,15 Feb 2010,Test # 1953
110,,,0,2,,Bangladesh,v England,Chattogram,12 Mar 2010,Test # 1954
111,N Pradeep,4,0,4,,Sri Lanka,v India,Colombo (SSC),28 Aug 2015,Test # 2179
112,,,0,1,,Sri Lanka,v West Indies,Galle,14 Oct 2015,Test # 2181
113,,,0,1,,Sri Lanka,v West Indies,Colombo (PSS),22 Oct 2015,Test # 2182
114,,,0,3,,Sri Lanka,v West Indies,Colombo (PSS),22 Oct 2015,Test # 2182
115,N Pradeep,4,0,1,,Sri Lanka,v Pakistan,Abu Dhabi,28 Sep 2017,Test # 2275
116,,,0,3,,Sri Lanka,v Pakistan,Abu Dhabi,28 Sep 2017,Test # 2275
117,,,0,1,,Sri Lanka,v Pakistan,Dubai (DSC),6 Oct 2017,Test # 2278
118,,,0,3,,Sri Lanka,v Pakistan,Dubai (DSC),6 Oct 2017,Test # 2278
119,BKG Mendis,4,0,3,,Sri Lanka,v South Africa,Centurion,26 Dec 2020,Test # 2399
120,,,0,1,,Sri Lanka,v South Africa,Johannesburg,3 Jan 2021,Test # 2401
121,,,0,3,,Sri Lanka,v South Africa,Johannesburg,3 Jan 2021,Test # 2401
122,,,0,1,,Sri Lanka,v England,Galle,14 Jan 2021,Test # 2403
123,Khaled Ahmed,4,0,2,,Bangladesh,v Pakistan,Mirpur,4 Dec 2021,Test # 2439
124,,,0,3,,Bangladesh,v Pakistan,Mirpur,4 Dec 2021,Test # 2439
125,,,0,2,,Bangladesh,v South Africa,Durban,31 Mar 2022,Test # 2460
126,,,0,4,,Bangladesh,v South Africa,Durban,31 Mar 2022,Test # 2460
