,Player,Runs,Mins,Balls,4s,6s,,Team,Opposition,Ground,Match Date,Scorecard
25,AG Kripal Singh,100*,-,-,-,0,,India,v New Zealand,Hyderabad (Deccan),19 Nov 1955,Test # 416
26,CC Hunte,142,300,-,17,0,,West Indies,v Pakistan,Bridgetown,17 Jan 1958,Test # 446
27,CA Milton,104*,295,-,11,0,,England,v New Zealand,Leeds,3 Jul 1958,Test # 456
28,AA Baig,112,260,-,12,0,,India,v England,Manchester,23 Jul 1959,Test # 477
29,Hanumant Singh,105,230,-,16,0,,India,v England,Delhi,8 Feb 1964,Test # 556
30,Khalid Ibadulla,166,330,-,20,0,,Pakistan,v Australia,Karachi,24 Oct 1964,Test # 569
31,BR Taylor,105,158,-,14,3,,New Zealand,v India,Kolkata,5 Mar 1965,Test # 581
32,KD Walters,155,322,315,11,2,,Australia,v England,Brisbane,10 Dec 1965,Test # 597
33,JH Hampshire,107,288,258,15,0,,England,v West Indies,Lord's,26 Jun 1969,Test # 654
34,GR Viswanath,137,354,-,25,0,,India,v Australia,Kanpur,15 Nov 1969,Test # 666
35,GS Chappell,108,272,218,10,0,,Australia,v England,Perth,11 Dec 1970,Test # 675
36,LG Rowe,214,427,-,19,1,,West Indies,v New Zealand,Kingston,16 Feb 1972,Test # 693
37,LG Rowe,100*,153,-,13,0,,West Indies,v New Zealand,Kingston,16 Feb 1972,Test # 693
38,AI Kallicharran,100*,254,-,7,1,,West Indies,v New Zealand,Georgetown,6 Apr 1972,Test # 696
39,RE Redmond,107,145,-,20,0,,New Zealand,v Pakistan,Auckland,16 Feb 1973,Test # 713
40,FC Hayes,106*,240,234,12,0,,England,v West Indies,The Oval,26 Jul 1973,Test # 725
41,CG Greenidge,107,260,208,14,2,,West Indies,v India,Bengaluru,22 Nov 1974,Test # 745
42,L Baichan,105*,-,-,-,0,,West Indies,v Pakistan,Lahore,15 Feb 1975,Test # 756
43,GJ Cosier,109,254,186,13,0,,Australia,v West Indies,Melbourne,26 Dec 1975,Test # 766
44,S Amarnath,124,259,-,16,1,,India,v New Zealand,Auckland,24 Jan 1976,Test # 769
45,Javed Miandad,163,259,-,19,0,,Pakistan,v New Zealand,Lahore,9 Oct 1976,Test # 782
46,AB Williams,100,165,118,19,0,,West Indies,v Australia,Georgetown,31 Mar 1978,Test # 822
47,DM Wellham,103,266,221,12,0,,Australia,v England,The Oval,27 Aug 1981,Test # 908
48,Saleem Malik,100*,272,191,10,0,,Pakistan,v Sri Lanka,Karachi,5 Mar 1982,Test # 923
49,KC Wessels,162,464,343,17,0,,Australia,v England,Brisbane,26 Nov 1982,Test # 939
50,WB Phillips,159,307,246,20,0,,Australia,v Pakistan,Perth,11 Nov 1983,Test # 966
51,M Azharuddin,110,443,322,10,0,,India,v England,Kolkata,31 Dec 1984,Test # 1007
52,DSBP Kuruppu,201*,777,548,24,0,,Sri Lanka,v New Zealand,Colombo (CCC),16 Apr 1987,Test # 1074
53,MJ Greatbatch,107*,407,325,12,0,,New Zealand,v England,Auckland,25 Feb 1988,Test # 1093
54,ME Waugh,138,237,188,18,0,,Australia,v England,Adelaide,25 Jan 1991,Test # 1161
55,AC Hudson,163,519,384,20,0,,South Africa,v West Indies,Bridgetown,18 Apr 1992,Test # 1188
