,Player,1st,2nd,,Team,Opposition,Ground,Match Date,Scorecard
115,S Chanderpaul,0,109,,West Indies,v South Africa,Durban,26 Dec 2003,Test # 1679
116,JA Rudolph,101,0,,South Africa,v West Indies,Cape Town,2 Jan 2004,Test # 1681
117,AC Gilchrist,0,144,,Australia,v Sri Lanka,Kandy,16 Mar 2004,Test # 1688
118,AJ Strauss,147,0,,England,v South Africa,Johannesburg,13 Jan 2005,Test # 1734
119,Younis Khan,147,0,,Pakistan,v India,Kolkata,16 Mar 2005,Test # 1741
120,JH Kallis,0,109*,,South Africa,v West Indies,Georgetown,31 Mar 2005,Test # 1745
121,BC Lara,153,0,,West Indies,v Pakistan,Kingston,3 Jun 2005,Test # 1754
122,IR Bell,115,0,,England,v Pakistan,Faisalabad,20 Nov 2005,Test # 1772
123,ML Hayden,0,102,,Australia,v South Africa,Durban,24 Mar 2006,Test # 1792
124,AC Gilchrist,0,102*,,Australia,v England,Perth,14 Dec 2006,Test # 1821
125,AG Prince,121,0,,South Africa,v India,Durban,26 Dec 2006,Test # 1825
126,Mohammad Ashraful,0,129*,,Bangladesh,v Sri Lanka,Colombo (PSS),3 Jul 2007,Test # 1838
127,DPMD Jayawardene,104,0,,Sri Lanka,v Australia,Hobart,16 Nov 2007,Test # 1847
128,AJ Strauss,0,177,,England,v New Zealand,Napier,22 Mar 2008,Test # 1868
129,S Chanderpaul,126*,0,,West Indies,v New Zealand,Napier,19 Dec 2008,Test # 1900
130,R Dravid,136,0,,India,v England,Mohali,19 Dec 2008,Test # 1901
131,MEK Hussey,0,121,,Australia,v England,The Oval,20 Aug 2009,Test # 1931
132,Tamim Iqbal,0,151,,Bangladesh,v India,Mirpur,24 Jan 2010,Test # 1950
133,V Sehwag,109,0,,India,v Sri Lanka,Colombo (PSS),3 Aug 2010,Test # 1968
134,AJ Strauss,0,110,,England,v Australia,Brisbane,25 Nov 2010,Test # 1981
135,PJ Hughes,0,126,,Australia,v Sri Lanka,Colombo (SSC),16 Sep 2011,Test # 2008
136,HAPW Jayawardene,0,120,,Sri Lanka,v Pakistan,Abu Dhabi,18 Oct 2011,Test # 2009
137,MJ Guptill,109,0,,New Zealand,v Zimbabwe,Bulawayo,1 Nov 2011,Test # 2013
138,KC Sangakkara,0,108,,Sri Lanka,v South Africa,Durban,26 Dec 2011,Test # 2026
139,JH Kallis,0,113,,South Africa,v New Zealand,Dunedin,7 Mar 2012,Test # 2035
140,Azhar Ali,0,136,,Pakistan,v Sri Lanka,Pallekele,8 Jul 2012,Test # 2048
141,AN Cook,115,0,,England,v South Africa,The Oval,19 Jul 2012,Test # 2049
142,GC Smith,122,0,,South Africa,v Australia,Adelaide,22 Nov 2012,Test # 2061
143,DG Brownlie,0,109,,New Zealand,v South Africa,Cape Town,2 Jan 2013,Test # 2069
144,NRD Compton,0,117,,England,v New Zealand,Dunedin,6 Mar 2013,Test # 2077
145,BJ Watling,103,0,,New Zealand,v Bangladesh,Chattogram,9 Oct 2013,Test # 2097
146,S Dhawan,0,115,,India,v New Zealand,Auckland,6 Feb 2014,Test # 2118
147,BJ Watling,0,124,,New Zealand,v India,Wellington,14 Feb 2014,Test # 2120
148,HM Amla,0,127*,,South Africa,v Australia,Gqeberha,20 Feb 2014,Test # 2121
149,MJ Clarke,161*,0,,Australia,v South Africa,Cape Town,1 Mar 2014,Test # 2122
150,DPMD Jayawardene,165,0,,Sri Lanka,v South Africa,Colombo (SSC),24 Jul 2014,Test # 2131
151,FDM Karunaratne,0,152,,Sri Lanka,v New Zealand,Christchurch,26 Dec 2014,Test # 2151
152,CA Pujara,145*,0,,India,v Sri Lanka,Colombo (SSC),28 Aug 2015,Test # 2179
153,Shoaib Malik,245,0,,Pakistan,v England,Abu Dhabi,13 Oct 2015,Test # 2180
154,Misbah-ul-Haq,114,0,,Pakistan,v England,Lord's,14 Jul 2016,Test # 2206
155,JK Silva,0,115,,Sri Lanka,v Australia,Colombo (SSC),13 Aug 2016,Test # 2217
156,UT Khawaja,145,0,,Australia,v South Africa,Adelaide,24 Nov 2016,Test # 2236
157,KK Jennings,112,0,,England,v India,Wankhede,8 Dec 2016,Test # 2239
158,Shakib Al Hasan,217,0,,Bangladesh,v New Zealand,Wellington,12 Jan 2017,Test # 2246
159,V Kohli,0,104*,,India,v Sri Lanka,Kolkata,16 Nov 2017,Test # 2281
160,F du Plessis,0,120,,South Africa,v Australia,Johannesburg,30 Mar 2018,Test # 2302
161,JE Root,0,125,,England,v India,The Oval,7 Sep 2018,Test # 2318
162,Asad Shafiq,104,0,,Pakistan,v New Zealand,Abu Dhabi,3 Dec 2018,Test # 2332
163,CA Pujara,106,0,,India,v Australia,Melbourne,26 Dec 2018,Test # 2337
164,SO Dowrich,0,116*,,West Indies,v England,Bridgetown,23 Jan 2019,Test # 2342
165,UT Khawaja,0,101*,,Australia,v Sri Lanka,Canberra,1 Feb 2019,Test # 2345
166,RL Chase,0,102*,,West Indies,v England,Gros Islet,9 Feb 2019,Test # 2346
167,Rahmat Shah,102,0,,Afghanistan,v Bangladesh,Chattogram,5 Sep 2019,Test # 2361
168,Q de Kock,111,0,,South Africa,v India,Visakhapatnam,2 Oct 2019,Test # 2363
169,Azhar Ali,0,118,,Pakistan,v Sri Lanka,Karachi,19 Dec 2019,Test # 2375
170,Shan Masood,156,0,,Pakistan,v England,Manchester,5 Aug 2020,Test # 2391
171,Najmul Hossain Shanto,163,0,,Bangladesh,v Sri Lanka,Pallekele,21 Apr 2021,Test # 2418
172,AD Mathews,199,0,,Sri Lanka,v Bangladesh,Chattogram,15 May 2022,Test # 2462
173,SPD Smith,145*,0,,Australia,v Sri Lanka,Galle,8 Jul 2022,Test # 2471
