,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
85,Mohsin Khan (PAK),v England,Karachi,2 Mar 1984,18 Jan 1978,6y 44d,31,49,Test # 978
86,JC Adams (WI),v England,Port of Spain,13 Feb 1998,18 Apr 1992,5y 301d,32,49,Test # 1399
87,LD Chandimal (SL),v England,Lord's,9 Jun 2016,26 Dec 2011,4y 166d,28,49,Test # 2205
88,AM Rahane (INDIA),v New Zealand,Indore,8 Oct 2016,22 Mar 2013,3y 200d,29,49,Test # 2223
89,UT Khawaja (AUS),v England,Sydney,4 Jan 2018,3 Jan 2011,7y 1d,29,49,Test # 2291
90,ER Dexter (ENG),v Pakistan,Karachi,2 Feb 1962,24 Jul 1958,3y 193d,30,50,Test # 522
91,BF Butcher (WI),v England,Port of Spain,19 Jan 1968,28 Nov 1958,9y 52d,29,50,Test # 627
92,Nawab of Pataudi (INDIA),v New Zealand,Dunedin,15 Feb 1968,13 Dec 1961,6y 64d,28,50,Test # 630
93,SM Nurse (WI),v New Zealand,Auckland,27 Feb 1969,17 Feb 1960,9y 10d,27,50,Test # 648
94,Zaheer Abbas (PAK),v India,Lahore,27 Oct 1978,24 Oct 1969,9y 3d,28,50,Test # 832
95,RA Smith (ENG),v West Indies,The Oval,8 Aug 1991,21 Jul 1988,3y 18d,27,50,Test # 1175
96,NS Sidhu (INDIA),v West Indies,Nagpur,1 Dec 1994,12 Nov 1983,11y 19d,33,50,Test # 1277
97,RT Ponting (AUS),v India,Adelaide,10 Dec 1999,8 Dec 1995,4y 2d,32,50,Test # 1476
98,ME Trescothick (ENG),v Australia,Brisbane,7 Nov 2002,3 Aug 2000,2y 96d,27,50,Test # 1623
99,MJ Clarke (AUS),v India,Adelaide,24 Jan 2008,6 Oct 2004,3y 110d,33,50,Test # 1863
100,M Vijay (INDIA),v Australia,Brisbane,17 Dec 2014,6 Nov 2008,6y 41d,29,50,Test # 2149
