,Player,100s,Runs,Inns,,Team,Opposition,Ground,Match Date,Scorecard
112,,,133,2,,Australia,v Pakistan,Dubai (DSC),22 Oct 2014,Test # 2140
113,Younis Khan,3,106,1,,Pakistan,v Australia,Dubai (DSC),22 Oct 2014,Test # 2140
114,,,103*,3,,Pakistan,v Australia,Dubai (DSC),22 Oct 2014,Test # 2140
115,,,213,1,,Pakistan,v Australia,Abu Dhabi,30 Oct 2014,Test # 2142
116,Misbah-ul-Haq,3,101,1,,Pakistan,v Australia,Abu Dhabi,30 Oct 2014,Test # 2142
117,,,101*,3,,Pakistan,v Australia,Abu Dhabi,30 Oct 2014,Test # 2142
118,,,102*,1,,Pakistan,v New Zealand,Abu Dhabi,9 Nov 2014,Test # 2144
119,DA Warner,3,163,1,,Australia,v New Zealand,Brisbane,5 Nov 2015,Test # 2185
120,,,116,3,,Australia,v New Zealand,Brisbane,5 Nov 2015,Test # 2185
121,,,253,1,,Australia,v New Zealand,Perth,13 Nov 2015,Test # 2187
122,AC Voges,3,269*,1,,Australia,v West Indies,Hobart,10 Dec 2015,Test # 2193
123,,,106*,1,,Australia,v West Indies,Melbourne,26 Dec 2015,Test # 2195
124,,,239,2,,Australia,v New Zealand,Wellington,12 Feb 2016,Test # 2201
125,V Kohli,3,104*,3,,India,v Sri Lanka,Kolkata,16 Nov 2017,Test # 2281
126,,,213,2,,India,v Sri Lanka,Nagpur,24 Nov 2017,Test # 2283
127,,,243,1,,India,v Sri Lanka,Delhi,2 Dec 2017,Test # 2286
128,M Labuschagne,3,185,2,,Australia,v Pakistan,Brisbane,21 Nov 2019,Test # 2368
129,,,162,1,,Australia,v Pakistan,Adelaide,29 Nov 2019,Test # 2372
130,,,143,1,,Australia,v New Zealand,Perth,12 Dec 2019,Test # 2374
131,Shan Masood,3,135,3,,Pakistan,v Sri Lanka,Karachi,19 Dec 2019,Test # 2375
132,,,100,2,,Pakistan,v Bangladesh,Rawalpindi,7 Feb 2020,Test # 2384
133,,,156,1,,Pakistan,v England,Manchester,5 Aug 2020,Test # 2391
