,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
41,Zaheer Abbas (PAK),v India,Hyderabad (Sind),14 Jan 1983,24 Oct 1969,13y 82d,56,92,Test # 946
42,Yousuf Youhana (PAK),v Australia,Sydney,2 Jan 2005,26 Feb 1998,6y 311d,56,92,Test # 1731
43,KC Sangakkara (SL),v Pakistan,Colombo (SSC),26 Mar 2006,20 Jul 2000,5y 249d,56,92,Test # 1794
44,TT Samaraweera (SL),v India,Colombo (SSC),26 Jul 2010,29 Aug 2001,8y 331d,59,92,Test # 1966
45,MEK Hussey (AUS),v India,Mohali,1 Oct 2010,3 Nov 2005,4y 332d,53,92,Test # 1972
46,HM Amla (SA),v Australia,Cape Town,9 Nov 2011,28 Nov 2004,6y 346d,52,92,Test # 2016
47,RB Richardson (WI),v Australia,Port of Spain,5 Apr 1991,24 Nov 1983,7y 132d,55,93,Test # 1168
48,MD Crowe (NZ),v England,Christchurch,18 Jan 1992,26 Feb 1982,9y 326d,57,93,Test # 1183
49,A Flower (ZIM),v South Africa,Harare,7 Sep 2001,18 Oct 1992,8y 324d,53,93,Test # 1562
50,SM Katich (AUS),v India,Mohali,1 Oct 2010,16 Aug 2001,9y 46d,53,93,Test # 1972
51,Azhar Ali (PAK),v West Indies,Dubai (DSC),13 Oct 2016,13 Jul 2010,6y 92d,50,93,Test # 2224
52,JL Langer (AUS),v England,Melbourne,26 Dec 2002,23 Jan 1993,9y 337d,58,94,Test # 1634
53,AC Gilchrist (AUS),v Pakistan,Sydney,2 Jan 2005,5 Nov 1999,5y 58d,65,94,Test # 1731
54,MJ Clarke (AUS),v Pakistan,Hobart,14 Jan 2010,6 Oct 2004,5y 100d,58,94,Test # 1947
55,LRPL Taylor (NZ),v West Indies,Wellington,11 Dec 2013,8 Nov 2007,6y 33d,52,94,Test # 2106
56,DCS Compton (ENG),v West Indies,Bridgetown,6 Feb 1954,14 Aug 1937,16y 176d,56,95,Test # 383
57,G Boycott (ENG),v West Indies,The Oval,26 Jul 1973,4 Jun 1964,9y 52d,55,95,Test # 725
58,MJ Slater (AUS),v Pakistan,Brisbane,5 Nov 1999,3 Jun 1993,6y 155d,54,95,Test # 1467
59,GR Viswanath (INDIA),v England,Birmingham,12 Jul 1979,15 Nov 1969,9y 239d,53,96,Test # 851
60,ME Waugh (AUS),v West Indies,Perth,1 Feb 1997,25 Jan 1991,6y 7d,60,96,Test # 1353
61,RT Ponting (AUS),v England,Adelaide,21 Nov 2002,8 Dec 1995,6y 348d,61,96,Test # 1628
62,AN Cook (ENG),v Bangladesh,Chattogram,12 Mar 2010,1 Mar 2006,4y 11d,53,96,Test # 1954
63,G Gambhir (INDIA),v England,Nagpur,13 Dec 2012,3 Nov 2004,8y 40d,54,96,Test # 2066
64,AD Mathews (SL),v New Zealand,Hamilton,18 Dec 2015,4 Jul 2009,6y 167d,56,96,Test # 2194
65,MC Cowdrey (ENG),v Australia,Melbourne,29 Dec 1962,26 Nov 1954,8y 33d,59,97,Test # 536
66,AR Border (AUS),v West Indies,Georgetown,2 Mar 1984,29 Dec 1978,5y 64d,57,99,Test # 979
67,M Amarnath (INDIA),v Sri Lanka,Nagpur,27 Dec 1986,24 Dec 1969,17y 3d,60,99,Test # 1063
68,MA Atherton (ENG),v South Africa,Johannesburg,30 Nov 1995,10 Aug 1989,6y 112d,53,99,Test # 1315
69,MP Vaughan (ENG),v South Africa,Centurion,21 Jan 2005,25 Nov 1999,5y 57d,55,99,Test # 1736
70,AJ Strauss (ENG),v India,Chennai,11 Dec 2008,20 May 2004,4y 205d,54,99,Test # 1898
71,CH Lloyd (WI),v England,Leeds,22 Jul 1976,13 Dec 1966,9y 222d,57,100,Test # 780
72,DI Gower (ENG),v Pakistan,Faisalabad,12 Mar 1984,1 Jun 1978,5y 285d,58,100,Test # 981
73,Misbah-ul-Haq (PAK),v Sri Lanka,Pallekele,3 Jul 2015,8 Mar 2001,14y 117d,58,100,Test # 2169
