,Player,Opposition,Ground,Match Date,Debut,Time,Mat,Inns,Scorecard
33,DPMD Jayawardene (SL),v Bangladesh,Colombo (RPS),12 Sep 2005,2 Aug 1997,8y 41d,70,114,Test # 1764
34,TT Samaraweera (SL),v South Africa,Cape Town,3 Jan 2012,29 Aug 2001,10y 127d,71,114,Test # 2028
35,G Boycott (ENG),v Australia,The Oval,25 Aug 1977,4 Jun 1964,13y 82d,66,115,Test # 808
36,AN Cook (ENG),v Australia,Sydney,3 Jan 2011,1 Mar 2006,4y 308d,65,115,Test # 1989
37,Azhar Ali (PAK),v Sri Lanka,Abu Dhabi,28 Sep 2017,13 Jul 2010,7y 77d,61,115,Test # 2275
38,Zaheer Abbas (PAK),v New Zealand,Lahore,16 Nov 1984,24 Oct 1969,15y 23d,72,116,Test # 998
39,CG Greenidge (WI),v England,Port of Spain,3 Apr 1986,22 Nov 1974,11y 132d,70,116,Test # 1044
40,RB Richardson (WI),v Australia,Adelaide,23 Jan 1993,24 Nov 1983,9y 60d,67,116,Test # 1210
41,IR Bell (ENG),v India,The Oval,18 Aug 2011,19 Aug 2004,6y 364d,69,116,Test # 2004
42,WM Lawry (AUS),v England,Perth,11 Dec 1970,8 Jun 1961,9y 186d,64,117,Test # 675
43,MD Crowe (NZ),v England,Lord's,16 Jun 1994,26 Feb 1982,12y 110d,69,117,Test # 1261
44,AJ Strauss (ENG),v Australia,Lord's,16 Jul 2009,20 May 2004,5y 57d,64,117,Test # 1925
45,KD Walters (AUS),v New Zealand,Perth,12 Dec 1980,10 Dec 1965,15y 2d,70,118,Test # 889
46,JL Langer (AUS),v India,Sydney,2 Jan 2004,23 Jan 1993,10y 344d,71,118,Test # 1680
47,AB de Villiers (SA),v Sri Lanka,Durban,26 Dec 2011,17 Dec 2004,7y 9d,70,118,Test # 2026
48,MA Taylor (AUS),v West Indies,Kingston,29 Apr 1995,26 Jan 1989,6y 93d,66,119,Test # 1297
49,MC Cowdrey (ENG),v Australia,The Oval,13 Aug 1964,26 Nov 1954,9y 261d,73,120,Test # 565
50,AR Border (AUS),v England,Lord's,27 Jun 1985,29 Dec 1978,6y 180d,68,120,Test # 1018
51,M Azharuddin (INDIA),v West Indies,Georgetown,17 Apr 1997,31 Dec 1984,12y 107d,83,120,Test # 1365
52,MJ Slater (AUS),v India,Wankhede,27 Feb 2001,3 Jun 1993,7y 269d,68,120,Test # 1531
53,JH Kallis (SA),v West Indies,Durban,26 Dec 2003,14 Dec 1995,8y 12d,73,120,Test # 1679
54,MJ Clarke (AUS),v South Africa,Cape Town,9 Nov 2011,6 Oct 2004,7y 34d,73,120,Test # 2016
55,LRPL Taylor (NZ),v Australia,Perth,13 Nov 2015,8 Nov 2007,8y 5d,66,120,Test # 2187
56,IM Chappell (AUS),v West Indies,Perth,12 Dec 1975,4 Dec 1964,11y 8d,68,121,Test # 765
57,GR Viswanath (INDIA),v England,Wankhede,15 Feb 1980,15 Nov 1969,10y 92d,69,121,Test # 874
58,ME Trescothick (ENG),v Australia,Manchester,11 Aug 2005,3 Aug 2000,5y 8d,64,121,Test # 1760
59,Inzamam-ul-Haq (PAK),v England,Manchester,31 May 2001,4 Jun 1992,8y 361d,74,122,Test # 1547
60,AC Gilchrist (AUS),v Bangladesh,Fatullah,9 Apr 2006,5 Nov 1999,6y 155d,84,122,Test # 1797
61,ME Waugh (AUS),v India,Chennai,6 Mar 1998,25 Jan 1991,7y 40d,76,123,Test # 1405
62,JH Edrich (ENG),v West Indies,Nottingham,3 Jun 1976,6 Jun 1963,12y 363d,76,124,Test # 777
63,MA Atherton (ENG),v Australia,Birmingham,5 Jun 1997,10 Aug 1989,7y 299d,68,124,Test # 1368
64,MP Vaughan (ENG),v India,Nottingham,27 Jul 2007,25 Nov 1999,7y 244d,69,124,Test # 1841
65,SR Waugh (AUS),v Sri Lanka,Adelaide,25 Jan 1996,26 Dec 1985,10y 30d,81,125,Test # 1324
