,Player,50s,Runs,Inns,,Team,Opposition,Ground,Match Date,Scorecard
99,,,89,2,,India,v Australia,Adelaide,28 Jan 1978,Test # 816
100,,,73,4,,India,v Australia,Adelaide,28 Jan 1978,Test # 816
101,,,145,2,,India,v Pakistan,Faisalabad,16 Oct 1978,Test # 831
102,Zaheer Abbas,6,91,2,,Pakistan,v Australia,Karachi,22 Sep 1982,Test # 935
103,,,126,1,,Pakistan,v Australia,Faisalabad,30 Sep 1982,Test # 936
104,,,52,2,,Pakistan,v Australia,Lahore,14 Oct 1982,Test # 937
105,,,215,1,,Pakistan,v India,Lahore,10 Dec 1982,Test # 941
106,,,186,2,,Pakistan,v India,Karachi,23 Dec 1982,Test # 942
107,,,168,2,,Pakistan,v India,Faisalabad,3 Jan 1983,Test # 945
108,AR Border,6,80,2,,Australia,v England,Manchester,27 Jul 1989,Test # 1124
109,,,65*,1,,Australia,v England,Nottingham,10 Aug 1989,Test # 1125
110,,,76,1,,Australia,v England,The Oval,24 Aug 1989,Test # 1126
111,,,51*,3,,Australia,v England,The Oval,24 Aug 1989,Test # 1126
112,,,50,1,,Australia,v New Zealand,Perth,24 Nov 1989,Test # 1129
113,,,56,1,,Australia,v Sri Lanka,Brisbane,8 Dec 1989,Test # 1131
114,MA Taylor,6,108,3,,Australia,v Sri Lanka,Hobart,16 Dec 1989,Test # 1133
115,,,52,1,,Australia,v Pakistan,Melbourne,12 Jan 1990,Test # 1134
116,,,101,3,,Australia,v Pakistan,Melbourne,12 Jan 1990,Test # 1134
117,,,77,2,,Australia,v Pakistan,Adelaide,19 Jan 1990,Test # 1135
118,,,59,4,,Australia,v Pakistan,Adelaide,19 Jan 1990,Test # 1135
119,,,101*,2,,Australia,v Pakistan,Sydney,3 Feb 1990,Test # 1137
120,R Dravid,6,92,1,,India,v Sri Lanka,Nagpur,26 Nov 1997,Test # 1387
121,,,93,1,,India,v Sri Lanka,Wankhede,3 Dec 1997,Test # 1390
122,,,85,3,,India,v Sri Lanka,Wankhede,3 Dec 1997,Test # 1390
123,,,52,1,,India,v Australia,Chennai,6 Mar 1998,Test # 1405
124,,,56,3,,India,v Australia,Chennai,6 Mar 1998,Test # 1405
125,,,86,2,,India,v Australia,Kolkata,18 Mar 1998,Test # 1409
126,JH Kallis,6,177,2,,South Africa,v West Indies,Durban,26 Dec 2003,Test # 1679
127,,,73,1,,South Africa,v West Indies,Cape Town,2 Jan 2004,Test # 1681
128,,,130*,3,,South Africa,v West Indies,Cape Town,2 Jan 2004,Test # 1681
129,,,130*,1,,South Africa,v West Indies,Centurion,16 Jan 2004,Test # 1682
130,,,92,1,,South Africa,v New Zealand,Hamilton,10 Mar 2004,Test # 1686
131,,,150*,3,,South Africa,v New Zealand,Hamilton,10 Mar 2004,Test # 1686
132,Mohammad Yousuf,6,128,2,,Pakistan,v England,The Oval,17 Aug 2006,Test # 1814
133,,,192,2,,Pakistan,v West Indies,Lahore,11 Nov 2006,Test # 1815
134,,,56,1,,Pakistan,v West Indies,Multan,19 Nov 2006,Test # 1816
135,,,191,3,,Pakistan,v West Indies,Multan,19 Nov 2006,Test # 1816
136,,,102,1,,Pakistan,v West Indies,Karachi,27 Nov 2006,Test # 1818
137,,,124,3,,Pakistan,v West Indies,Karachi,27 Nov 2006,Test # 1818
138,MEK Hussey,6,182,2,,Australia,v Bangladesh,Chattogram,16 Apr 2006,Test # 1799
139,,,86,1,,Australia,v England,Brisbane,23 Nov 2006,Test # 1817
140,,,91,2,,Australia,v England,Adelaide,1 Dec 2006,Test # 1819
141,,,61*,4,,Australia,v England,Adelaide,1 Dec 2006,Test # 1819
142,,,74*,1,,Australia,v England,Perth,14 Dec 2006,Test # 1821
143,,,103,3,,Australia,v England,Perth,14 Dec 2006,Test # 1821
144,KC Sangakkara,6,200*,2,,Sri Lanka,v Bangladesh,Colombo (PSS),3 Jul 2007,Test # 1838
145,,,222*,2,,Sri Lanka,v Bangladesh,Kandy,11 Jul 2007,Test # 1839
146,,,57,2,,Sri Lanka,v Australia,Hobart,16 Nov 2007,Test # 1847
147,,,192,4,,Sri Lanka,v Australia,Hobart,16 Nov 2007,Test # 1847
148,,,92,1,,Sri Lanka,v England,Kandy,1 Dec 2007,Test # 1851
149,,,152,3,,Sri Lanka,v England,Kandy,1 Dec 2007,Test # 1851
150,PA Jaques,6,66,2,,Australia,v Bangladesh,Chattogram,16 Apr 2006,Test # 1799
151,,,100,1,,Australia,v Sri Lanka,Brisbane,8 Nov 2007,Test # 1845
152,,,150,1,,Australia,v Sri Lanka,Hobart,16 Nov 2007,Test # 1847
153,,,68,3,,Australia,v Sri Lanka,Hobart,16 Nov 2007,Test # 1847
154,,,66,1,,Australia,v India,Melbourne,26 Dec 2007,Test # 1855
155,,,51,3,,Australia,v India,Melbourne,26 Dec 2007,Test # 1855
156,S Chanderpaul,6,107*,2,,West Indies,v Australia,North Sound,30 May 2008,Test # 1877
157,,,77*,4,,West Indies,v Australia,North Sound,30 May 2008,Test # 1877
158,,,79*,2,,West Indies,v Australia,Bridgetown,12 Jun 2008,Test # 1879
159,,,50,4,,West Indies,v Australia,Bridgetown,12 Jun 2008,Test # 1879
160,,,76,2,,West Indies,v New Zealand,Dunedin,11 Dec 2008,Test # 1897
161,,,126*,1,,West Indies,v New Zealand,Napier,19 Dec 2008,Test # 1900
162,Misbah-ul-Haq,6,76*,4,,Pakistan,v South Africa,Dubai (DSC),12 Nov 2010,Test # 1976
163,,,77,2,,Pakistan,v South Africa,Abu Dhabi,20 Nov 2010,Test # 1979
164,,,58*,4,,Pakistan,v South Africa,Abu Dhabi,20 Nov 2010,Test # 1979
165,,,62,2,,Pakistan,v New Zealand,Hamilton,7 Jan 2011,Test # 1990
166,,,99,2,,Pakistan,v New Zealand,Wellington,15 Jan 2011,Test # 1991
167,,,70*,4,,Pakistan,v New Zealand,Wellington,15 Jan 2011,Test # 1991
168,AN Cook,6,82,2,,England,v Australia,Melbourne,26 Dec 2010,Test # 1986
169,,,189,2,,England,v Australia,Sydney,3 Jan 2011,Test # 1989
170,,,133,2,,England,v Sri Lanka,Cardiff,26 May 2011,Test # 1994
171,,,96,1,,England,v Sri Lanka,Lord's,3 Jun 2011,Test # 1995
172,,,106,3,,England,v Sri Lanka,Lord's,3 Jun 2011,Test # 1995
173,,,55,2,,England,v Sri Lanka,Southampton,16 Jun 2011,Test # 1996
174,DA Warner,6,115,3,,Australia,v South Africa,Centurion,12 Feb 2014,Test # 2119
175,,,70,2,,Australia,v South Africa,Gqeberha,20 Feb 2014,Test # 2121
176,,,66,4,,Australia,v South Africa,Gqeberha,20 Feb 2014,Test # 2121
177,,,135,1,,Australia,v South Africa,Cape Town,1 Mar 2014,Test # 2122
178,,,145,3,,Australia,v South Africa,Cape Town,1 Mar 2014,Test # 2122
179,,,133,2,,Australia,v Pakistan,Dubai (DSC),22 Oct 2014,Test # 2140
180,JE Root,6,56,3,,England,v India,Southampton,27 Jul 2014,Test # 2132
181,,,77,2,,England,v India,Manchester,7 Aug 2014,Test # 2134
182,,,149*,2,,England,v India,The Oval,15 Aug 2014,Test # 2137
183,,,83,1,,England,v West Indies,North Sound,13 Apr 2015,Test # 2157
184,,,59,3,,England,v West Indies,North Sound,13 Apr 2015,Test # 2157
185,,,182*,2,,England,v West Indies,St George's,21 Apr 2015,Test # 2158
186,SPD Smith,6,144,1,,Australia,v England,Birmingham,1 Aug 2019,Test # 2353
187,,,142,3,,Australia,v England,Birmingham,1 Aug 2019,Test # 2353
188,,,92,2,,Australia,v England,Lord's,14 Aug 2019,Test # 2355
189,,,211,1,,Australia,v England,Manchester,4 Sep 2019,Test # 2360
190,,,82,3,,Australia,v England,Manchester,4 Sep 2019,Test # 2360
191,,,80,2,,Australia,v England,The Oval,12 Sep 2019,Test # 2362
192,FDM Karunaratne,6,75,4,,Sri Lanka,v West Indies,North Sound,29 Mar 2021,Test # 2417
193,,,244,2,,Sri Lanka,v Bangladesh,Pallekele,21 Apr 2021,Test # 2418
194,,,118,1,,Sri Lanka,v Bangladesh,Pallekele,29 Apr 2021,Test # 2419
195,,,66,3,,Sri Lanka,v Bangladesh,Pallekele,29 Apr 2021,Test # 2419
196,,,147,1,,Sri Lanka,v West Indies,Galle,21 Nov 2021,Test # 2434
197,,,83,3,,Sri Lanka,v West Indies,Galle,21 Nov 2021,Test # 2434
198,EH Hendren,5,74,1,,England,v South Africa,Birmingham,14 Jun 1924,Test # 153
199,,,50*,2,,England,v South Africa,Lord's,28 Jun 1924,Test # 154
200,,,132,1,,England,v South Africa,Leeds,12 Jul 1924,Test # 155
201,,,142,2,,England,v South Africa,The Oval,16 Aug 1924,Test # 157
202,,,74*,2,,England,v Australia,Sydney,19 Dec 1924,Test # 158
203,WR Hammond,5,63,4,,England,v South Africa,Johannesburg,24 Dec 1930,Test # 200
204,,,57,2,,England,v South Africa,Cape Town,1 Jan 1931,Test # 202
205,,,65,3,,England,v South Africa,Cape Town,1 Jan 1931,Test # 202
206,,,136*,2,,England,v South Africa,Durban,16 Jan 1931,Test # 204
207,,,75,1,,England,v South Africa,Johannesburg,13 Feb 1931,Test # 206
208,H Sutcliffe,5,74,2,,England,v Australia,Manchester,25 Jul 1930,Test # 197
209,,,161,1,,England,v Australia,The Oval,16 Aug 1930,Test # 198
210,,,54,3,,England,v Australia,The Oval,16 Aug 1930,Test # 198
211,,,117,1,,England,v New Zealand,The Oval,29 Jul 1931,Test # 210
212,,,109*,1,,England,v New Zealand,Manchester,15 Aug 1931,Test # 211
213,DG Bradman,5,132,1,,Australia,v India,Melbourne,1 Jan 1948,Test # 292
214,,,127*,3,,Australia,v India,Melbourne,1 Jan 1948,Test # 292
215,,,201,1,,Australia,v India,Adelaide,23 Jan 1948,Test # 294
216,,,57*,1,,Australia,v India,Melbourne,6 Feb 1948,Test # 295
217,,,138,2,,Australia,v England,Nottingham,10 Jun 1948,Test # 299
218,RN Harvey,5,151*,4,,Australia,v South Africa,Durban,20 Jan 1950,Test # 320
219,,,56*,1,,Australia,v South Africa,Johannesburg,10 Feb 1950,Test # 321
220,,,100,3,,Australia,v South Africa,Johannesburg,10 Feb 1950,Test # 321
221,,,116,1,,Australia,v South Africa,Gqeberha,3 Mar 1950,Test # 322
222,,,74,1,,Australia,v England,Brisbane,1 Dec 1950,Test # 327
223,RN Harvey,5,60,4,,Australia,v South Africa,Melbourne,24 Dec 1952,Test # 361
224,,,190,2,,Australia,v South Africa,Sydney,9 Jan 1953,Test # 362
225,,,84,1,,Australia,v South Africa,Adelaide,24 Jan 1953,Test # 364
226,,,116,3,,Australia,v South Africa,Adelaide,24 Jan 1953,Test # 364
227,,,205,1,,Australia,v South Africa,Melbourne,6 Feb 1953,Test # 365
228,CL Walcott,5,124,1,,West Indies,v England,Port of Spain,17 Mar 1954,Test # 385
229,,,51*,3,,West Indies,v England,Port of Spain,17 Mar 1954,Test # 385
230,,,50,1,,West Indies,v England,Kingston,30 Mar 1954,Test # 386
231,,,116,3,,West Indies,v England,Kingston,30 Mar 1954,Test # 386
232,,,108,2,,West Indies,v Australia,Kingston,26 Mar 1955,Test # 403
233,PBH May,5,89*,3,,England,v South Africa,The Oval,13 Aug 1955,Test # 412
234,,,73,1,,England,v Australia,Nottingham,7 Jun 1956,Test # 425
235,,,63,2,,England,v Australia,Lord's,21 Jun 1956,Test # 426
236,,,53,4,,England,v Australia,Lord's,21 Jun 1956,Test # 426
237,,,101,1,,England,v Australia,Leeds,12 Jul 1956,Test # 427
238,GS Sobers,5,50,2,,West Indies,v India,Brabourne,13 Dec 1966,Test # 610
239,,,53*,4,,West Indies,v India,Brabourne,13 Dec 1966,Test # 610
240,,,70,1,,West Indies,v India,Kolkata,31 Dec 1966,Test # 612
241,,,95,2,,West Indies,v India,Chennai,13 Jan 1967,Test # 614
242,,,74*,4,,West Indies,v India,Chennai,13 Jan 1967,Test # 614
243,JH Edrich,5,88,1,,England,v Australia,Birmingham,11 Jul 1968,Test # 639
244,,,64,3,,England,v Australia,Birmingham,11 Jul 1968,Test # 639
245,,,62,2,,England,v Australia,Leeds,25 Jul 1968,Test # 640
246,,,65,4,,England,v Australia,Leeds,25 Jul 1968,Test # 640
247,,,164,1,,England,v Australia,The Oval,22 Aug 1968,Test # 641
248,G Boycott,5,76*,4,,England,v Australia,Melbourne,21 Jan 1971,Test # 677
249,,,58,1,,England,v Australia,Adelaide,29 Jan 1971,Test # 678
250,,,119*,3,,England,v Australia,Adelaide,29 Jan 1971,Test # 678
251,,,121*,1,,England,v Pakistan,Lord's,17 Jun 1971,Test # 688
252,,,112,1,,England,v Pakistan,Leeds,8 Jul 1971,Test # 689
253,IVA Richards,5,101,4,,West Indies,v Australia,Adelaide,23 Jan 1976,Test # 768
254,,,50,2,,West Indies,v Australia,Melbourne,31 Jan 1976,Test # 770
255,,,98,4,,West Indies,v Australia,Melbourne,31 Jan 1976,Test # 770
256,,,142,2,,West Indies,v India,Bridgetown,10 Mar 1976,Test # 773
257,,,130,1,,West Indies,v India,Port of Spain,24 Mar 1976,Test # 774
258,SM Gavaskar,5,97,3,,India,v Pakistan,Lahore,27 Oct 1978,Test # 832
259,,,111,1,,India,v Pakistan,Karachi,14 Nov 1978,Test # 833
260,,,137,3,,India,v Pakistan,Karachi,14 Nov 1978,Test # 833
261,,,205,1,,India,v West Indies,Wankhede,1 Dec 1978,Test # 835
262,,,73,3,,India,v West Indies,Wankhede,1 Dec 1978,Test # 835
